"Name of College","City","State","Minimum Score Required"
"Monmouth College","Monmouth","Illinois (IL)","3"
"Monmouth University","West Long Branch","New Jersey (NJ)","3"
"Montclair State University","Montclair","New Jersey (NJ)","3"
"Monterey Peninsula College","Monterey","California (CA)","3"
"Montgomery County Community College","Blue Bell","Pennsylvania (PA)","3"
"Montserrat College of Art","Beverly","Massachusetts (MA)","4"
"Moorpark College","Moorpark","California (CA)","3"
"Morehead State University","Morehead","Kentucky (KY)","3"
"Mount Aloysius College","Cresson","Pennsylvania (PA)","4"
"Mount San Antonio College","Walnut","California (CA)","3"
"Mount San Jacinto College","San Jacinto","California (CA)","3"
"Mount St. Joseph University","Cincinnati","Ohio (OH)","3"
"Mount St. Mary's University","Emmitsburg","Maryland (MD)","3"
"Mountwest Community And Technical College","Huntington","West Virginia (WV)","3"
"Muskingum University","New Concord","Ohio (OH)","3"
"NHTI-Concord's Community College","Concord","New Hampshire (NH)","3"
"Napa Valley College","Napa","California (CA)","3"
"Naropa University","Boulder","Colorado (CO)","3"
"Nassau Community College","Garden City","New York (NY)","3"
"National University","La Jolla","California (CA)","3"
"Nebraska Wesleyan University","Lincoln","Nebraska (NE)","3"
"New College of Florida","Sarasota","Florida (FL)","3"
"New England College","Henniker","New Hampshire (NH)","3"
"New England Conservatory Of Music","Boston","Massachusetts (MA)","4"
"New Jersey City University","Jersey City","New Jersey (NJ)","3"
"New Jersey Institute of Technology","Newark","New Jersey (NJ)","4"
"New River Community and Technical College","Beaver","West Virginia (WV)","3"
"New School for Jazz and Contemporary Music","New York","New York (NY)","4"
"New York Institute of Technology","Old Westbury","New York (NY)","3"
"Nichols College","Dudley","Massachusetts (MA)","3"
"North Central College","Naperville","Illinois (IL)","4"
"North Dakota State University","Fargo","North Dakota (ND)","3"
"North Greenville University","Tigerville","South Carolina (SC)","3"
"Northern Arizona University","Flagstaff","Arizona (AZ)","3"
"Northern Illinois University","Dekalb","Illinois (IL)","3"
"Northern Kentucky University","Newport","Kentucky (KY)","3"
"Northern New Mexico College","Espanola","New Mexico (NM)","3"
"Northern State University","Aberdeen","South Dakota (SD)","3"
"Northwest Florida State College","Niceville","Florida (FL)","3"
"Northwest University","Kirkland","Washington (WA)","3"
"Norwich University","Northfield","Vermont (VT)","3"
"Nova Southeastern University","Fort Lauderdale","Florida (FL)","3"
"Oakland Community College","Auburn Hills","Michigan (MI)","3"
"Oakland University","Rochester","Michigan (MI)","3"
"Oakwood University","Huntsville","Alabama (AL)","3"
"Occidental College","Los Angeles","California (CA)","4"
