"Name of College","City","State","Minimum Score Required"
"Eastern Connecticut State University","Willimantic","Connecticut (CT)","3"
"Eastern Illinois University","Charleston","Illinois (IL)","3"
"Eastern Kentucky University","Richmond","Kentucky (KY)","3"
"Eastern Maine Community College","Bangor","Maine (ME)","3"
"Eastern Michigan University","Ypsilanti","Michigan (MI)","3"
"Eastern Oregon University","La Grande","Oregon (OR)","3"
"Eastern University","Wayne","Pennsylvania (PA)","3"
"Eastern Washington University","Cheney","Washington (WA)","3"
"Eastman School of Music of the University of Rochester","Rochester","New York (NY)","4"
"Eckerd College","Saint Petersburg","Florida (FL)","4"
"Edison State Community College","Piqua","Ohio (OH)","3"
"Edmonds College","Lynnwood","Washington (WA)","3"
"Elgin Community College","Elgin","Illinois (IL)","3"
"Elizabethtown College","Elizabethtown","Pennsylvania (PA)","4"
"Elizabethtown Community and Technical College","Elizabethtown","Kentucky (KY)","3"
"Elmira College","Elmira","New York (NY)","4"
"Elon University","Elon","North Carolina (NC)","4"
"Embry-Riddle Aeronautical University: Daytona Beach Campus","Daytona Beach","Florida (FL)","3"
"Embry-Riddle Aeronautical University: Prescott Campus","Prescott","Arizona (AZ)","3"
"Embry-Riddle Aeronautical University: Worldwide Campus","Daytona Beach","Florida (FL)","3"
"Emerson College","Boston","Massachusetts (MA)","4"
"Emory And Henry University","Emory","Virginia (VA)","4"
"Emory University","Atlanta","Georgia (GA)","4"
"Empire State University","Saratoga Springs","New York (NY)","3"
"Emporia State University","Emporia","Kansas (KS)","3"
"Endicott College","Beverly","Massachusetts (MA)","3"
"Eugene Lang College The New School for Liberal Arts","New York","New York (NY)","4"
"Eureka College","Eureka","Illinois (IL)","3"
"Everett Community College","Everett","Washington (WA)","3"
"Evergreen State College","Olympia","Washington (WA)","3"
"Evergreen Valley College","San Jose","California (CA)","3"
"Fairleigh Dickinson University","Teaneck","New Jersey (NJ)","3"
"Fairleigh Dickinson University: Florham Campus","Madison","New Jersey (NJ)","3"
"Fashion Institute of Technology","New York","New York (NY)","3"
"Fayetteville Technical Community College","Fayetteville","North Carolina (NC)","3"
"Felician University","Lodi","New Jersey (NJ)","4"
"Ferrum College","Ferrum","Virginia (VA)","3"
"Finger Lakes Community College","Canandaigua","New York (NY)","3"
"Fitchburg State University","Fitchburg","Massachusetts (MA)","3"
"Five Towns College","Dix Hills","New York (NY)","3"
"Florida Agricultural and Mechanical University","Tallahassee","Florida (FL)","3"
"Florida Atlantic University","Boca Raton","Florida (FL)","3"
"Florida College","Temple Terrace","Florida (FL)","3"
"Florida Gulf Coast University","Fort Myers","Florida (FL)","3"
"Florida Institute of Technology","Melbourne","Florida (FL)","3"
"Florida International University","Miami","Florida (FL)","3"
"Florida Polytechnic University","Lakeland","Florida (FL)","3"
"Florida SouthWestern State College","Fort Myers","Florida (FL)","3"
"Florida State College at Jacksonville","Jacksonville","Florida (FL)","3"
"Florida State University","Tallahassee","Florida (FL)","3"
"Folsom Lake College","Folsom","California (CA)","3"
"Fordham University","Bronx","New York (NY)","4"
"Fort Hays State University","Hays","Kansas (KS)","3"
"Fort Lewis College","Durango","Colorado (CO)","3"
"Framingham State University","Framingham","Massachusetts (MA)","3"
"Francis Marion University","Florence","South Carolina (SC)","3"
"Franklin & Marshall College","Lancaster","Pennsylvania (PA)","4"
"Franklin College","Franklin","Indiana (IN)","3"
"Franklin Pierce University","Rindge","New Hampshire (NH)","3"
"Frederick Community College","Frederick","Maryland (MD)","3"
"Fresno City College","Fresno","California (CA)","3"
"Fresno Pacific University","Fresno","California (CA)","3"
"Friends University","Wichita","Kansas (KS)","3"
"Front Range Community College","Westminster","Colorado (CO)","3"
"Front Range Community College Larimer Campus","Fort Collins","Colorado (CO)","3"
"Full Sail University","Winter Park","Florida (FL)","3"
"Fullerton College","Fullerton","California (CA)","3"
"Gallaudet University","Washington","District Of Columbia (DC)","3"
"Garrett College","Mc Henry","Maryland (MD)","3"
"GateWay Community College","Phoenix","Arizona (AZ)","3"
"Gateway Community and Technical College","Florence","Kentucky (KY)","3"
"Gateway Community and Technical College Edgewood","Ft Mitchell","Kentucky (KY)","3"
"Gavilan College","Gilroy","California (CA)","3"
"Geneva College","Beaver Falls","Pennsylvania (PA)","3"
"George Fox University","Newberg","Oregon (OR)","3"
"George Mason University","Fairfax","Virginia (VA)","3"
"George Washington University","Washington","District Of Columbia (DC)","4"
"Georgetown College","Georgetown","Kentucky (KY)","3"
"Georgetown University","Washington","District Of Columbia (DC)","4"
"Georgia College and State University","Milledgeville","Georgia (GA)","3"
"Georgia Gwinnett College","Lawrenceville","Georgia (GA)","4"
"Georgia Institute Of Technology","Atlanta","Georgia (GA)","3"
"Georgia Military College","Milledgeville","Georgia (GA)","3"
"Georgia Southern University","Statesboro","Georgia (GA)","3"
"Georgia State University","Atlanta","Georgia (GA)","3"
"Georgian Court University","Lakewood","New Jersey (NJ)","3"
"Germanna Community College","Locust Grove","Virginia (VA)","3"
"Glendale Community College","Glendale","Arizona (AZ)","3"
"Glendale Community College","Glendale","California (CA)","3"
"Golden West College","Huntington Beach","California (CA)","3"
"Gonzaga University","Spokane","Washington (WA)","4"
"Gordon College","Wenham","Massachusetts (MA)","3"
"Governors State University","University Park","Illinois (IL)","3"
"Grand Canyon University","Phoenix","Arizona (AZ)","3"
"Grand Rapids Community College","Grand Rapids","Michigan (MI)","3"
"Grand Valley State University","Allendale","Michigan (MI)","3"
"Grand View University","Des Moines","Iowa (IA)","3"
"Great Falls College Montana State University","Great Falls","Montana (MT)","3"
"Green River College","Auburn","Washington (WA)","3"
"Greenfield Community College","Greenfield","Massachusetts (MA)","3"
"Greenville Technical College","Greenville","South Carolina (SC)","3"
"Greenville University","Greenville","Illinois (IL)","3"
"Grinnell College","Grinnell","Iowa (IA)","4"
"Grossmont College","El Cajon","California (CA)","3"
"Grove City College","Grove City","Pennsylvania (PA)","5"
"Guilford College","Greensboro","North Carolina (NC)","3"
"Gustavus Adolphus College","Saint Peter","Minnesota (MN)","4"
"Hagerstown Community College","Hagerstown","Maryland (MD)","3"
"Hamilton College","Clinton","New York (NY)","4"
"Hampden-Sydney College","Hampden Sydney","Virginia (VA)","4"
"Harper College","Palatine","Illinois (IL)","3"
"Harris-Stowe State University","Saint Louis","Missouri (MO)","3"
"Hartnell College","Salinas","California (CA)","3"
"Hartwick College","Oneonta","New York (NY)","3"
"Haverford College","Haverford","Pennsylvania (PA)","4"
"Hawaii Pacific University","Honolulu","Hawaii (HI)","3"
"Hazard Community and Technical College","Hazard","Kentucky (KY)","3"
"Hebrew Theological College","Skokie","Illinois (IL)","4"
"Henderson Community College","Henderson","Kentucky (KY)","3"
"High Point University","High Point","North Carolina (NC)","4"
"Highline College","Des Moines","Washington (WA)","3"
"Hiram College","Hiram","Ohio (OH)","4"
"Hofstra University","Hempstead","New York (NY)","3"
"Hollins University","Roanoke","Virginia (VA)","4"
"Holmes Community College","Goodman","Mississippi (MS)","3"
"Holy Family University","Philadelphia","Pennsylvania (PA)","3"
"Holyoke Community College","Holyoke","Massachusetts (MA)","3"
"Hood College","Frederick","Maryland (MD)","4"
"Hope College","Holland","Michigan (MI)","3"
"Hope International University","Fullerton","California (CA)","3"
"Hopkinsville Community College","Hopkinsville","Kentucky (KY)","3"
"Houghton University","Houghton","New York (NY)","3"
"Houston Community College System","Houston","Texas (TX)","3"
"Howard University","Washington","District Of Columbia (DC)","3"
"Hudson Valley Community College","Troy","New York (NY)","3"
"Huntington University","Huntington","Indiana (IN)","3"
"Husson University","Bangor","Maine (ME)","3"
"Idaho State University","Pocatello","Idaho (ID)","3"
"Illinois College","Jacksonville","Illinois (IL)","3"
"Illinois Institute of Technology","Chicago","Illinois (IL)","3"
"Illinois State University","Normal","Illinois (IL)","3"
"Illinois Wesleyan University","Bloomington","Illinois (IL)","4"
"Imperial Valley College","Imperial","California (CA)","3"
"Indian River State College","Fort Pierce","Florida (FL)","3"
"Indiana Institute of Technology","Fort Wayne","Indiana (IN)","4"
"Indiana State University","Terre Haute","Indiana (IN)","3"
"Indiana University Bloomington","Bloomington","Indiana (IN)","3"
"Indiana University East","Richmond","Indiana (IN)","3"
"Indiana University Indianapolis","Indianapolis","Indiana (IN)","3"
"Indiana University Kokomo","Kokomo","Indiana (IN)","3"
"Indiana University Northwest","Gary","Indiana (IN)","3"
"Indiana University South Bend","South Bend","Indiana (IN)","3"
"Indiana University Southeast","New Albany","Indiana (IN)","3"
"Indiana University of Pennsylvania","Indiana","Pennsylvania (PA)","3"
"Indiana Wesleyan University","Marion","Indiana (IN)","3"
"Iona University","New Rochelle","New York (NY)","3"
"Irvine Valley College","Irvine","California (CA)","3"
"Ithaca College","Ithaca","New York (NY)","3"
"Ivy Tech Community College","Indianapolis","Indiana (IN)","3"
"Jackson State Community College","Jackson","Tennessee (TN)","3"
"Jacksonville University","Jacksonville","Florida (FL)","4"
"James A. Rhodes State College","Lima","Ohio (OH)","3"
"Jefferson Community College","Watertown","New York (NY)","3"
"Jefferson Community and Technical College","Louisville","Kentucky (KY)","3"
"John Brown University","Siloam Springs","Arkansas (AR)","3"
"John Carroll University","Cleveland","Ohio (OH)","3"
"Johnson & Wales University: Charlotte","Charlotte","North Carolina (NC)","3"
"Johnson & Wales University: Providence","Providence","Rhode Island (RI)","3"
"Johnson University","Knoxville","Tennessee (TN)","3"
"Joliet Junior College","Joliet","Illinois (IL)","3"
"Juniata College","Huntingdon","Pennsylvania (PA)","4"
"Kalamazoo College","Kalamazoo","Michigan (MI)","4"
"Kankakee Community College","Kankakee","Illinois (IL)","3"
