"Name of College","City","State","Minimum Score Required"
"Coastal Carolina University","Conway","South Carolina (SC)","3"
"Cochise College","Sierra Vista","Arizona (AZ)","3"
"Coker University","Hartsville","South Carolina (SC)","3"
"Colgate University","Hamilton","New York (NY)","4"
"College Of Idaho","Caldwell","Idaho (ID)","4"
"College Of The Florida Keys","Key West","Florida (FL)","3"
"College for Creative Studies","Detroit","Michigan (MI)","3"
"College of Central Florida","Ocala","Florida (FL)","3"
"College of Charleston","Charleston","South Carolina (SC)","3"
"College of Coastal Georgia","Brunswick","Georgia (GA)","3"
"College of Lake County","Grayslake","Illinois (IL)","3"
"College of Southern Idaho","Twin Falls","Idaho (ID)","3"
"College of Southern Maryland","La Plata","Maryland (MD)","3"
"College of Southern Nevada","Las Vegas","Nevada (NV)","3"
"College of St. Benedict","Saint Joseph","Minnesota (MN)","4"
"College of St. Scholastica","Duluth","Minnesota (MN)","3"
"College of William and Mary","Williamsburg","Virginia (VA)","4"
"College of the Albemarle","Elizabeth City","North Carolina (NC)","3"
"College of the Atlantic","Bar Harbor","Maine (ME)","4"
"College of the Canyons","Valencia","California (CA)","3"
"College of the Desert","Palm Desert","California (CA)","3"
"Collin County Community College District","McKinney","Texas (TX)","3"
"Colorado College","Colorado Springs","Colorado (CO)","4"
"Colorado Mesa University","Grand Junction","Colorado (CO)","3"
"Colorado School of Mines","Golden","Colorado (CO)","4"
"Colorado State University","Fort Collins","Colorado (CO)","3"
"Colorado State University: Pueblo","Pueblo","Colorado (CO)","3"
"Columbia Basin College","Pasco","Washington (WA)","3"
"Columbia College Chicago","Chicago","Illinois (IL)","3"
"Columbia State Community College","Columbia","Tennessee (TN)","3"
"Columbus State Community College Columbus Campus","Columbus","Ohio (OH)","3"
"Columbus State University","Columbus","Georgia (GA)","3"
"Commonwealth University Of Pennsylvania","Bloomsburg","Pennsylvania (PA)","3"
"Commonwealth University Of Pennsylvania Lock Haven","Lock Haven","Pennsylvania (PA)","3"
"Commonwealth University Of Pennsylvania Mansfield","Mansfield","Pennsylvania (PA)","3"
"Community College of Allegheny County","Pittsburgh","Pennsylvania (PA)","3"
"Community College of Rhode Island","Warwick","Rhode Island (RI)","3"
"Concord University","Athens","West Virginia (WV)","3"
"Concordia College: Moorhead","Moorhead","Minnesota (MN)","3"
"Concordia University","Seward","Nebraska (NE)","3"
"Concordia University Chicago","River Forest","Illinois (IL)","3"
"Concordia University Irvine","Irvine","California (CA)","3"
"Concordia University St. Paul","Saint Paul","Minnesota (MN)","3"
"Concordia University Texas","Austin","Texas (TX)","3"
"Connors State College","Warner","Oklahoma (OK)","3"
"Coppin State University","Baltimore","Maryland (MD)","3"
"Cornell College","Mount Vernon","Iowa (IA)","4"
"Cornerstone University","Grand Rapids","Michigan (MI)","3"
"Covenant College","Lookout Mountain","Georgia (GA)","4"
"Cowley County Community College","Arkansas City","Kansas (KS)","3"
"Crafton Hills College","Yucaipa","California (CA)","3"
"Craven Community College","New Bern","North Carolina (NC)","3"
"Creighton University","Omaha","Nebraska (NE)","4"
"Cuesta College","San Luis Obispo","California (CA)","3"
"Cuyahoga Community College","Cleveland","Ohio (OH)","3"
"Cuyahoga Community College Eastern Campus","Highland Hills","Ohio (OH)","3"
"Cuyahoga Community College Western Campus","Cleveland","Ohio (OH)","3"
"Cuyahoga Community College Westshore Campus","Westlake","Ohio (OH)","3"
"Cuyamaca College","El Cajon","California (CA)","3"
"D'Youville College","Buffalo","New York (NY)","3"
"Dakota County Technical College","Rosemount","Minnesota (MN)","3"
"Dakota State University","Madison","South Dakota (SD)","3"
"Dallas Christian College","Dallas","Texas (TX)","3"
"Dallas College: Eastfield Campus","Mesquite","Texas (TX)","3"
"Danville Community College","Danville","Virginia (VA)","3"
"Davenport University","Grand Rapids","Michigan (MI)","3"
"Davidson College","Davidson","North Carolina (NC)","4"
"Dawson Community College","Glendive","Montana (MT)","3"
"DePaul University","Chicago","Illinois (IL)","3"
"DePauw University","Greencastle","Indiana (IN)","3"
"DeSales University","Center Valley","Pennsylvania (PA)","4"
"Defiance College","Defiance","Ohio (OH)","3"
"Delaware County Community College","Media","Pennsylvania (PA)","3"
"Delaware State University","Dover","Delaware (DE)","4"
"Delta College","University Center","Michigan (MI)","3"
"Denison University","Granville","Ohio (OH)","4"
"Dickinson College","Carlisle","Pennsylvania (PA)","3"
"Doane University","Crete","Nebraska (NE)","4"
"Dominican University","River Forest","Illinois (IL)","4"
"Dominican University New York","Orangeburg","New York (NY)","3"
"Dordt University","Sioux Center","Iowa (IA)","4"
"Drake University","Des Moines","Iowa (IA)","4"
"Drew University","Madison","New Jersey (NJ)","4"
"Drexel University","Philadelphia","Pennsylvania (PA)","4"
"Drury University","Springfield","Missouri (MO)","3"
"Duke University","Durham","North Carolina (NC)","5"
"Duquesne University","Pittsburgh","Pennsylvania (PA)","3"
"Durham Technical Community College","Durham","North Carolina (NC)","3"
"Earlham College","Richmond","Indiana (IN)","4"
"East Arkansas Community College","Forrest City","Arkansas (AR)","3"
"East Carolina University","Greenville","North Carolina (NC)","3"
"East Central University","Ada","Oklahoma (OK)","3"
"East Georgia State College","Swainsboro","Georgia (GA)","3"
"East Los Angeles College","Monterey Park","California (CA)","3"
"East Tennessee State University","Johnson City","Tennessee (TN)","3"
"Eastern Connecticut State University","Willimantic","Connecticut (CT)","3"
"Eastern Illinois University","Charleston","Illinois (IL)","3"
"Eastern Kentucky University","Richmond","Kentucky (KY)","3"
"Eastern Mennonite University","Harrisonburg","Virginia (VA)","3"
"Eastern Michigan University","Ypsilanti","Michigan (MI)","3"
"Eastern Oregon University","La Grande","Oregon (OR)","3"
"Eastern University","Wayne","Pennsylvania (PA)","3"
"Eastern Washington University","Cheney","Washington (WA)","3"
"Eastman School of Music of the University of Rochester","Rochester","New York (NY)","4"
"Eckerd College","Saint Petersburg","Florida (FL)","4"
"Edison State Community College","Piqua","Ohio (OH)","3"
"Elgin Community College","Elgin","Illinois (IL)","3"
"Elizabeth City State University","Elizabeth City","North Carolina (NC)","3"
"Elizabethtown College","Elizabethtown","Pennsylvania (PA)","4"
"Embry-Riddle Aeronautical University: Daytona Beach Campus","Daytona Beach","Florida (FL)","3"
"Embry-Riddle Aeronautical University: Prescott Campus","Prescott","Arizona (AZ)","3"
"Embry-Riddle Aeronautical University: Worldwide Campus","Daytona Beach","Florida (FL)","3"
"Emmanuel University","Franklin Springs","Georgia (GA)","3"
"Emory And Henry University","Emory","Virginia (VA)","3"
"Empire State University","Saratoga Springs","New York (NY)","3"
"Emporia State University","Emporia","Kansas (KS)","3"
"Endicott College","Beverly","Massachusetts (MA)","4"
"Eugene Lang College The New School for Liberal Arts","New York","New York (NY)","4"
"Eureka College","Eureka","Illinois (IL)","3"
"Everett Community College","Everett","Washington (WA)","3"
"Evergreen State College","Olympia","Washington (WA)","3"
"Evergreen Valley College","San Jose","California (CA)","3"
"Fairfield University","Fairfield","Connecticut (CT)","4"
"Fairmont State University","Fairmont","West Virginia (WV)","3"
"Fashion Institute of Technology","New York","New York (NY)","3"
"Fayetteville State University","Fayetteville","North Carolina (NC)","3"
"Feather River College","Quincy","California (CA)","3"
"Felician University","Lodi","New Jersey (NJ)","4"
"Ferris State University","Big Rapids","Michigan (MI)","3"
"Ferrum College","Ferrum","Virginia (VA)","3"
"Finger Lakes Community College","Canandaigua","New York (NY)","3"
"Fisk University","Nashville","Tennessee (TN)","4"
"Fitchburg State University","Fitchburg","Massachusetts (MA)","3"
"Five Towns College","Dix Hills","New York (NY)","3"
"Flagler College","Saint Augustine","Florida (FL)","3"
