"Name of College","City","State","Minimum Score Required"
"Gateway Community and Technical College","Florence","Kentucky (KY)","3"
"Geneva College","Beaver Falls","Pennsylvania (PA)","4"
"George Mason University","Fairfax","Virginia (VA)","3"
"Georgetown University","Washington","District Of Columbia (DC)","4"
"Georgia College and State University","Milledgeville","Georgia (GA)","3"
"Georgia Institute Of Technology","Atlanta","Georgia (GA)","4"
"Georgia Southwestern State University","Americus","Georgia (GA)","3"
"Georgia State University","Atlanta","Georgia (GA)","3"
"Georgian Court University","Lakewood","New Jersey (NJ)","3"
"Gonzaga University","Spokane","Washington (WA)","4"
"Gordon College","Wenham","Massachusetts (MA)","3"
"Goshen College","Goshen","Indiana (IN)","3"
"Grand Valley State University","Allendale","Michigan (MI)","3"
"Grays Harbor College","Aberdeen","Washington (WA)","3"
"Great Falls College Montana State University","Great Falls","Montana (MT)","3"
"Green River College","Auburn","Washington (WA)","3"
"Grinnell College","Grinnell","Iowa (IA)","4"
"Gustavus Adolphus College","Saint Peter","Minnesota (MN)","4"
"Hamilton College","Clinton","New York (NY)","4"
"Hampton University","Hampton","Virginia (VA)","3"
"Harper College","Palatine","Illinois (IL)","3"
"Hawaii Pacific University","Honolulu","Hawaii (HI)","4"
"Hazard Community and Technical College","Hazard","Kentucky (KY)","3"
"Henderson Community College","Henderson","Kentucky (KY)","3"
"Hendrix College","Conway","Arkansas (AR)","3"
"High Point University","High Point","North Carolina (NC)","4"
"Highland Community College","Freeport","Illinois (IL)","3"
"Highline College","Des Moines","Washington (WA)","3"
"Hinds Community College","Raymond","Mississippi (MS)","3"
"Holmes Community College","Goodman","Mississippi (MS)","3"
"Hope College","Holland","Michigan (MI)","4"
"Hopkinsville Community College","Hopkinsville","Kentucky (KY)","3"
"Houghton University","Houghton","New York (NY)","3"
"Husson University","Bangor","Maine (ME)","3"
"Idaho State University","Pocatello","Idaho (ID)","3"
"Illinois Institute of Technology","Chicago","Illinois (IL)","3"
"Illinois State University","Normal","Illinois (IL)","3"
"Illinois Wesleyan University","Bloomington","Illinois (IL)","4"
"Indiana State University","Terre Haute","Indiana (IN)","3"
"Indiana University Bloomington","Bloomington","Indiana (IN)","3"
"Indiana University East","Richmond","Indiana (IN)","3"
"Indiana University Indianapolis","Indianapolis","Indiana (IN)","3"
"Indiana University Northwest","Gary","Indiana (IN)","3"
"Indiana University South Bend","South Bend","Indiana (IN)","3"
"Indiana University Southeast","New Albany","Indiana (IN)","3"
"Indiana Wesleyan University","Marion","Indiana (IN)","3"
"Iowa State University","Ames","Iowa (IA)","4"
"Itawamba Community College","Fulton","Mississippi (MS)","3"
"Ithaca College","Ithaca","New York (NY)","3"
"Jackson State University","Jackson","Mississippi (MS)","3"
"James Madison University","Harrisonburg","Virginia (VA)","3"
"Jefferson Community and Technical College","Louisville","Kentucky (KY)","3"
"John A. Logan College","Carterville","Illinois (IL)","3"
"John Brown University","Siloam Springs","Arkansas (AR)","3"
"John Carroll University","Cleveland","Ohio (OH)","3"
"Johnson & Wales University: Providence","Providence","Rhode Island (RI)","3"
"Johnson University","Knoxville","Tennessee (TN)","3"
"Joliet Junior College","Joliet","Illinois (IL)","3"
"Jones County Junior College","Ellisville","Mississippi (MS)","3"
"Juniata College","Huntingdon","Pennsylvania (PA)","4"
"Kankakee Community College","Kankakee","Illinois (IL)","3"
"Kansas State University","Manhattan","Kansas (KS)","3"
"Kennesaw State University","Kennesaw","Georgia (GA)","3"
"Kent State University","Kent","Ohio (OH)","3"
"Kent State University: Ashtabula","Ashtabula","Ohio (OH)","3"
"Kent State University: East Liverpool","East Liverpool","Ohio (OH)","3"
"Kent State University: Geauga","Burton","Ohio (OH)","3"
"Kent State University: Salem","Salem","Ohio (OH)","3"
"Kent State University: Stark","North Canton","Ohio (OH)","3"
"Kent State University: Trumbull","Warren","Ohio (OH)","3"
"Kent State University: Tuscarawas","New Philadelphia","Ohio (OH)","3"
"Lake Erie College","Painesville","Ohio (OH)","4"
"Lake Region State College","Devils Lake","North Dakota (ND)","3"
"Lake Superior State University","Sault Sainte Marie","Michigan (MI)","3"
"Lake Washington Institute of Technology","Kirkland","Washington (WA)","3"
"Landmark College","Putney","Vermont (VT)","3"
"Lawrence Technological University","Southfield","Michigan (MI)","4"
"Lebanon Valley College","Annville","Pennsylvania (PA)","4"
"Lehigh Carbon Community College","Schnecksville","Pennsylvania (PA)","3"
"Lehigh University","Bethlehem","Pennsylvania (PA)","4"
"Liberty University","Lynchburg","Virginia (VA)","3"
"Lincoln Land Community College","Springfield","Illinois (IL)","4"
"Lincoln University","Jefferson City","Missouri (MO)","3"
"Lindenwood University","Saint Charles","Missouri (MO)","3"
"Longwood University","Farmville","Virginia (VA)","3"
"Loras College","Dubuque","Iowa (IA)","3"
"Louisiana State University And Agricultural And Mechanical College","Baton Rouge","Louisiana (LA)","3"
"Lower Columbia College","Longview","Washington (WA)","3"
"Loyola Marymount University","Los Angeles","California (CA)","4"
"Loyola University Maryland","Baltimore","Maryland (MD)","4"
"Lynn University","Boca Raton","Florida (FL)","3"
"Madisonville Community College","Madisonville","Kentucky (KY)","3"
"Malone University","Canton","Ohio (OH)","3"
"Marian University","Indianapolis","Indiana (IN)","4"
"Marietta College","Marietta","Ohio (OH)","3"
