"Name of College","City","State","Minimum Score Required"
"Cleveland Institute of Art","Cleveland","Ohio (OH)","4"
"Cleveland State Community College","Cleveland","Tennessee (TN)","3"
"Cleveland State University","Cleveland","Ohio (OH)","3"
"Clover Park Technical College","Lakewood","Washington (WA)","3"
"Clovis Community College","Clovis","New Mexico (NM)","3"
"Coastal Carolina Community College","Jacksonville","North Carolina (NC)","3"
"Coastal Carolina University","Conway","South Carolina (SC)","3"
"Coastline Community College","Fountain Valley","California (CA)","3"
"Cochise College","Sierra Vista","Arizona (AZ)","4"
"Coconino County Community College","Flagstaff","Arizona (AZ)","4"
"Coe College","Cedar Rapids","Iowa (IA)","4"
"Coker University","Hartsville","South Carolina (SC)","3"
"Colby College","Waterville","Maine (ME)","4"
"Colby Community College","Colby","Kansas (KS)","3"
"Colby-Sawyer College","New London","New Hampshire (NH)","3"
"College Of Idaho","Caldwell","Idaho (ID)","4"
"College Of The Florida Keys","Key West","Florida (FL)","3"
"College for Creative Studies","Detroit","Michigan (MI)","3"
"College of Central Florida","Ocala","Florida (FL)","3"
"College of Charleston","Charleston","South Carolina (SC)","3"
"College of Coastal Georgia","Brunswick","Georgia (GA)","3"
"College of Lake County","Grayslake","Illinois (IL)","3"
"College of Mount St. Vincent","Bronx","New York (NY)","3"
"College of Southern Idaho","Twin Falls","Idaho (ID)","3"
"College of Southern Maryland","La Plata","Maryland (MD)","3"
"College of Southern Nevada","Las Vegas","Nevada (NV)","3"
"College of St. Benedict","Saint Joseph","Minnesota (MN)","4"
"College of St. Scholastica","Duluth","Minnesota (MN)","3"
"College of Western Idaho","Nampa","Idaho (ID)","3"
"College of Wooster","Wooster","Ohio (OH)","4"
"College of the Albemarle","Elizabeth City","North Carolina (NC)","3"
"College of the Canyons","Valencia","California (CA)","3"
"College of the Holy Cross","Worcester","Massachusetts (MA)","4"
"College of the Sequoias","Visalia","California (CA)","3"
"Collin County Community College District","McKinney","Texas (TX)","3"
"Colorado College","Colorado Springs","Colorado (CO)","4"
"Colorado Mesa University","Grand Junction","Colorado (CO)","3"
"Colorado Northwestern Community College","Rangely","Colorado (CO)","3"
"Colorado School of Mines","Golden","Colorado (CO)","4"
"Colorado State University","Fort Collins","Colorado (CO)","3"
"Colorado State University: Pueblo","Pueblo","Colorado (CO)","3"
"Columbia Basin College","Pasco","Washington (WA)","3"
"Columbia College","Sonora","California (CA)","3"
"Columbia College","Columbia","South Carolina (SC)","3"
"Columbia College Chicago","Chicago","Illinois (IL)","3"
"Columbia International University","Columbia","South Carolina (SC)","3"
"Columbia State Community College","Columbia","Tennessee (TN)","3"
"Columbus College of Art and Design","Columbus","Ohio (OH)","4"
"Columbus State Community College Columbus Campus","Columbus","Ohio (OH)","3"
"Columbus State University","Columbus","Georgia (GA)","4"
"Commonwealth University Of Pennsylvania","Bloomsburg","Pennsylvania (PA)","3"
"Commonwealth University Of Pennsylvania Lock Haven","Lock Haven","Pennsylvania (PA)","3"
"Commonwealth University Of Pennsylvania Mansfield","Mansfield","Pennsylvania (PA)","3"
